,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamOdds_x,opponentOdds_x,teamType_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamOdds_y,opponentOdds_y,teamType_y,correct_prediction,different_prediction,lower_odds_winner,prediction_certainty,points_difference,bet,return
219,0,0,2018-04-07,Bath,Leicester,19,34,53,L,2.07,1.82,home,1,1,Leicester,Bath,34,19,53,W,1.82,2.07,away,True,True,True,1,15,10,18.2
221,0,0,2018-04-07,Northampton,Saracens,13,63,76,L,4.5,1.21,home,1,1,Saracens,Northampton,63,13,76,W,1.21,4.5,away,True,True,True,1,50,10,12.1
223,0,1,2018-04-07,Harlequins,London Irish,5,35,40,L,1.15,5.45,home,1,0,London Irish,Harlequins,35,5,40,W,5.45,1.15,away,False,True,False,1,30,10,0.0
225,1,0,2018-04-07,Worcester,Newcastle,27,13,40,W,2.27,1.68,home,0,1,Newcastle,Worcester,13,27,40,L,1.68,2.27,away,False,True,False,2,14,5,0.0
227,1,1,2018-04-08,Exeter,Gloucester,46,10,56,W,1.15,5.52,home,0,0,Gloucester,Exeter,10,46,56,L,5.52,1.15,away,True,True,True,1,36,10,11.5
229,1,1,2018-04-13,Newcastle,Sale,35,30,65,W,1.42,2.96,home,0,0,Sale,Newcastle,30,35,65,L,2.96,1.42,away,True,True,True,1,5,10,14.2
230,1,1,2018-04-14,Gloucester,Harlequins,37,9,46,W,1.28,3.82,home,0,0,Harlequins,Gloucester,9,37,46,L,3.82,1.28,away,True,True,True,1,28,10,12.8
233,0,1,2018-04-14,Leicester,Northampton,21,27,48,L,1.09,7.42,home,1,0,Northampton,Leicester,27,21,48,W,7.42,1.09,away,False,True,False,1,6,10,0.0
235,1,1,2018-04-14,Wasps,Worcester,30,15,45,W,1.06,8.89,home,0,0,Worcester,Wasps,15,30,45,L,8.89,1.06,away,True,True,True,1,15,10,10.600000000000001
238,1,1,2018-04-15,Saracens,Bath,41,6,47,W,1.08,7.94,home,0,0,Bath,Saracens,6,41,47,L,7.94,1.08,away,True,True,True,1,35,10,10.8
239,0,0,2018-04-15,London Irish,Exeter,5,45,50,L,5.08,1.17,home,1,1,Exeter,London Irish,45,5,50,W,1.17,5.08,away,True,True,True,1,40,10,11.7
240,0,1,2018-04-27,Leicester,Newcastle,23,25,48,L,1.19,4.71,home,1,0,Newcastle,Leicester,25,23,48,W,4.71,1.19,away,False,True,False,1,2,10,0.0
243,1,1,2018-04-28,Worcester,Harlequins,44,13,57,W,1.48,2.72,home,0,0,Harlequins,Worcester,13,44,57,L,2.72,1.48,away,True,True,True,1,31,10,14.8
244,0,1,2018-04-28,Gloucester,Bath,20,43,63,L,1.27,3.9,home,1,0,Bath,Gloucester,43,20,63,W,3.9,1.27,away,False,True,False,1,23,10,0.0
246,1,1,2018-04-28,Exeter,Sale,34,19,53,W,1.1,6.91,home,0,0,Sale,Exeter,19,34,53,L,6.91,1.1,away,True,True,True,1,15,10,11.0
250,0,0,2018-04-29,London Irish,Saracens,14,51,65,L,9.29,1.05,home,1,1,Saracens,London Irish,51,14,65,W,1.05,9.29,away,True,True,True,1,37,10,10.5
251,1,1,2018-04-29,Wasps,Northampton,36,29,65,W,1.08,7.44,home,0,0,Northampton,Wasps,29,36,65,L,7.44,1.08,away,True,True,True,1,7,10,10.8
252,0,0,2018-05-05,Newcastle,Wasps,22,39,61,L,2.13,1.76,home,1,1,Wasps,Newcastle,39,22,61,W,1.76,2.13,away,True,True,True,1,17,10,17.6
254,0,0,2018-05-05,Harlequins,Exeter,17,41,58,L,4.28,1.22,home,1,1,Exeter,Harlequins,41,17,58,W,1.22,4.28,away,True,True,True,1,24,10,12.2
255,1,1,2018-05-05,Saracens,Gloucester,62,12,74,W,1.03,12.63,home,0,0,Gloucester,Saracens,12,62,74,L,12.63,1.03,away,True,True,True,1,50,10,10.3
257,0,0,2018-05-05,Sale,Leicester,13,35,48,L,1.55,2.51,home,1,1,Leicester,Sale,35,13,48,W,2.51,1.55,away,True,True,False,1,22,10,25.099999999999998
258,1,1,2018-05-05,Bath,London Irish,63,19,82,W,1.06,8.97,home,0,0,London Irish,Bath,19,63,82,L,8.97,1.06,away,True,True,True,1,44,10,10.600000000000001
263,1,1,2018-05-05,Northampton,Worcester,32,24,56,W,1.3,3.57,home,0,0,Worcester,Northampton,24,32,56,L,3.57,1.3,away,True,True,True,1,8,10,13.0
264,1,1,2018-05-19,Exeter,Newcastle,36,5,41,W,1.1,6.91,home,0,0,Newcastle,Exeter,5,36,41,L,6.91,1.1,away,True,True,True,1,31,10,11.0
267,1,1,2018-05-19,Saracens,Wasps,57,33,90,W,1.16,5.21,home,0,0,Wasps,Saracens,33,57,90,L,5.21,1.16,away,True,True,True,1,24,10,11.6
269,0,0,2018-05-26,Exeter,Saracens,10,27,37,L,2.49,1.59,home,1,1,Saracens,Exeter,27,10,37,W,1.59,2.49,away,True,True,True,2,17,5,7.95
