,actual_x,prediction_x,date,team_x,opponent_x,teamPoints_x,opponentPoints_x,totalPoints_x,result_x,teamType_x,teamOdds_x,opponentOdds_x,actual_y,prediction_y,team_y,opponent_y,teamPoints_y,opponentPoints_y,totalPoints_y,result_y,teamType_y,teamOdds_y,opponentOdds_y,correct_prediction,different_prediction,lower_odds_winner
52,0,0,2022-10-09,Wasps,Northampton,36,40,76,L,home,1.87,1.95,1,1,Northampton,Wasps,40,36,76,W,away,1.95,1.87,True,True,False
53,0,0,2022-10-09,Newcastle,Saracens,14,34,48,L,home,3.86,1.26,1,1,Saracens,Newcastle,34,14,48,W,away,1.26,3.86,True,True,True
56,1,1,2022-10-14,Sale,London Irish,37,14,51,W,home,1.18,4.8,0,0,London Irish,Sale,14,37,51,L,away,4.8,1.18,True,True,True
61,1,1,2022-10-15,Saracens,Bath,37,31,68,W,home,1.04,10.08,0,0,Bath,Saracens,31,37,68,L,away,10.08,1.04,True,True,True
62,1,1,2022-10-15,Gloucester,Bristol,31,28,59,W,home,1.28,3.73,0,0,Bristol,Gloucester,28,31,59,L,away,3.73,1.28,True,True,True
63,1,1,2022-10-15,Northampton,Newcastle,32,31,63,W,home,1.08,7.32,0,0,Newcastle,Northampton,31,32,63,L,away,7.32,1.08,True,True,True
65,0,0,2022-10-16,Harlequins,Leicester,19,27,46,L,home,1.67,2.23,1,0,Leicester,Harlequins,27,19,46,W,away,2.23,1.67,False,False,False
67,0,0,2022-10-21,London Irish,Gloucester,21,22,43,L,home,1.74,2.12,1,0,Gloucester,London Irish,22,21,43,W,away,2.12,1.74,False,False,False
69,0,1,2022-10-22,Exeter,Saracens,20,22,42,L,home,1.77,2.09,1,0,Saracens,Exeter,22,20,42,W,away,2.09,1.77,False,True,False
71,1,0,2022-10-22,Bath,Northampton,27,14,41,W,home,2.57,1.51,0,1,Northampton,Bath,14,27,41,L,away,1.51,2.57,False,True,False
73,0,1,2022-10-23,Sale,Harlequins,13,29,42,L,home,1.29,3.59,1,0,Harlequins,Sale,29,13,42,W,away,3.59,1.29,False,True,False
75,1,0,2022-10-28,Gloucester,Exeter,38,22,60,W,home,1.88,1.96,0,1,Exeter,Gloucester,22,38,60,L,away,1.96,1.88,False,True,True
77,1,1,2022-10-29,Harlequins,London Irish,26,24,50,W,home,1.24,4.01,0,0,London Irish,Harlequins,24,26,50,L,away,4.01,1.24,True,True,True
78,1,1,2022-10-29,Northampton,Bristol,45,31,76,W,home,1.78,2.07,0,0,Bristol,Northampton,31,45,76,L,away,2.07,1.78,True,True,True
80,1,1,2022-10-30,Saracens,Sale,33,22,55,W,home,1.51,2.59,0,0,Sale,Saracens,22,33,55,L,away,2.59,1.51,True,True,True
83,1,0,2022-11-04,Northampton,Exeter,26,19,45,W,home,1.64,2.3,0,0,Exeter,Northampton,19,26,45,L,away,2.3,1.64,False,False,True
